timestamp,npc_id,modelo,adaptabilidad,eficiencia_cpu,latencia_promedio_ms,decisiones_correctas
2025-10-18 01:07:47,1,BehaviorTree,0.4095874600353247,66.8,88.99746944524595,42
2025-10-24 13:04:33,2,BehaviorTree,0.47850145488380635,67.6,56.39,46
2025-10-18 15:52:05,3,BehaviorTree,0.5073443380176968,71.15,46.52,53
2025-10-24 10:15:24,4,BehaviorTree,0.6787246568600012,72.77,55.01,65
2025-10-19 22:00:03,5,BehaviorTree,0.7817021050888008,80.11,70.13,78
2025-10-18 23:45:11,6,BehaviorTree,0.7955232006525005,77.04,71.21,84
2025-10-24 15:55:27,7,BehaviorTree,0.7426593464304061,77.36,51.02,79
2025-10-24 07:42:06,8,BehaviorTree,0.8378486173131998,78.61,67.94,79
2025-10-18 05:47:18,9,BehaviorTree,0.7558992519188205,59.4,62.33,71
2025-10-24 11:40:12,10,BehaviorTree,0.5922012124422782,80.24,48.38,60
2025-10-22 01:47:14,11,BehaviorTree,0.4836113716974999,82.43,45.17,50
2025-10-22 16:41:57,12,BehaviorTree,0.7019740073470405,69.66,55.15,68
2025-10-22 16:23:34,13,BehaviorTree,0.6220315476090226,72.36,59.99,59
2025-10-19 07:26:27,14,BehaviorTree,0.5850028457450583,71.88,43.74,61
2025-10-21 10:36:49,15,BehaviorTree,0.5327601181430403,68.07,62.1,54
2025-10-24 21:06:34,16,BehaviorTree,0.4045484393705584,80.54,47.85,39
2025-10-22 05:30:38,17,BehaviorTree,0.6321706214811514,61.37,77.46740753967782,65
2025-10-19 01:41:02,18,BehaviorTree,0.8464953132438575,67.58,52.33,86
2025-10-19 07:21:43,19,BehaviorTree,0.8408469514208848,74.21,59.39,85
2025-10-20 22:06:41,20,BehaviorTree,0.44900763020043577,65.68,49.5,42
2025-10-18 16:27:17,21,BehaviorTree,0.5005978285219275,84.77,47.15,52
2025-10-24 22:03:35,22,BehaviorTree,0.5616358132459474,63.07,56.71,56
2025-10-24 00:37:53,23,BehaviorTree,0.6894996671052654,62.75,54.2,74
2025-10-19 21:45:45,24,BehaviorTree,0.466930126598433,77.24,61.48,43
2025-10-21 15:17:14,25,BehaviorTree,0.6242282470480616,73.21,67.92,62
2025-10-23 23:34:01,26,BehaviorTree,0.5133182593885384,63.01,60.46,53
2025-10-24 12:32:15,27,BehaviorTree,0.7432964592626169,65.47,53.87,77
2025-10-23 05:50:58,28,BehaviorTree,0.8372292942037061,72.99,54.69,86
2025-10-18 18:44:42,29,BehaviorTree,0.8006502158524721,78.02,117.04088210818244,80
2025-10-23 21:03:09,30,BehaviorTree,0.6098876909536781,76.55,64.6,58
2025-10-18 03:12:25,31,BehaviorTree,0.6459870583622109,61.35,50.97,61
2025-10-18 22:37:22,32,BehaviorTree,0.6927485252451604,69.71,50.92,70
2025-10-18 08:49:24,33,BehaviorTree,0.7331529188253723,72.22,71.73,69
